exercise_ssn,avg_submissions_per_student,Topic,Exercise,Specific Problem
317682-00495,16.027932960893853,Boolean,RoadTrip,Dollars and Cents
317682-00473,12.351598173515981,I/O,Distributive Property,Formatted Output
317682-00490,10.464864864864865,Boolean,ShowMeTheMoney,Dollars and Cents
00001-20882,10.149732620320856,String,Substring,Substring
317682-00488,10.122093023255815,Boolean,Recall 2,Boolean
00001-20884,9.860824742268042,String,Substring,Substring
00001-20934,9.529411764705882,String,Comparing Strings,Equals Method
317682-00480,8.429577464788732,Methods,Two-Point Distance,Static Methods
317682-00496,7.895161290322581,Methods,BestRoute,Static Methods
00001-20845,7.786163522012578,Methods,getSecondLine,Static Methods
317682-00363,7.712550607287449,Data,Floating Point Division,Data
00001-21217,6.879518072289157,Loops,merge,File For Loop
00001-20937,6.6923076923076925,IF/ELSE,Nested and Cascaded If-Else Statements,Nested and Cascaded If-Else Statements
317682-00477,6.489473684210527,I/O,Terminal Velocity,Input/Output
317682-00493,6.383458646616542,Methods,"3 Zips, What Order?",Static Methods
00001-20756,6.226851851851852,Boolean,Logical Expressions,Logic
00001-20991,6.049792531120332,I/O,Output,Formatted Output
317682-00482,5.984496124031008,Methods,Distance2p,Static Methods
00001-20985,5.979838709677419,Data,Conversions,Conversions
00001-20931,5.9113924050632916,IF/ELSE,Nested and Cascaded If-Else Statements,Nested and Cascaded If-Else Statements
317682-00481,5.874074074074074,Methods,getPathLength,Static Methods
00001-20986,5.785407725321888,Data,Conversions,Conversions
00001-21209,5.728571428571429,I/O,File Input,File Input
317682-00491,5.664285714285715,Boolean,ShowMeTheMoney with IF,Dollars and Cents
00001-20960,5.538071065989848,String,Parsing with Substring,Substring